"","ESSFdc3","MSdc2","MSxv","SBSmc1","SBSmc2","SBSmc3"
"2000-01-01",0.189,0.242,0.327999999999999,0.0959999999999994,0.394,0.0959999999999994
"2001-01-01",0.207930579224998,0.274435752749997,0.340745684699998,0.105371416849998,0.373948330650002,0.101131828799999
"2002-01-01",0.226563465517173,0.305381331090911,0.352994060226263,0.115178490759596,0.355187842775757,0.106674954844444
"2003-01-01",0.244895934832575,0.334861260613635,0.364750866293938,0.125402714343938,0.337689271186364,0.112614504266666
"2004-01-01",0.262925263127275,0.362900066909094,0.376021842618182,0.136025580218183,0.321423350690907,0.1189356032
"2005-01-01",0.280648726357323,0.389522275568182,0.386812728914141,0.147028580997474,0.306360816098485,0.125623377777777
"2006-01-01",0.298063600478786,0.414752412181816,0.397129264896968,0.158393209296968,0.292472402218183,0.132662954133332
"2007-01-01",0.315167161447728,0.43861500234091,0.406977190281818,0.170100957731819,0.27972884385909,0.1400394584
"2008-01-01",0.331956685220201,0.461134571636362,0.416362244783837,0.182133318917171,0.268100875830304,0.14773801671111
"2009-01-01",0.348429447752274,0.482335645659093,0.425290168118182,0.194471785468183,0.257559232940908,0.155743755200001
"2010-01-01",0.364582725,0.50224275,0.4337667,0.20709785,0.24807465,0.1640418
"2011-01-01",0.380413792919442,0.520880410249998,0.441797580144443,0.219993005127776,0.239617861816668,0.172617277244443
"2012-01-01",0.395919927466667,0.538273152000001,0.449388548266667,0.233138743466667,0.2321596032,0.181455313066667
"2013-01-01",0.411098404597726,0.554445500840908,0.456545344081817,0.246516557631817,0.225670608959091,0.190541033599999
"2014-01-01",0.425946500268688,0.569421982363638,0.463273707305051,0.260107940238385,0.22012161390303,0.199859564977779
"2015-01-01",0.440461490435606,0.583227122159091,0.469579377651515,0.273894383901515,0.215483352840909,0.209396033333333
"2016-01-01",0.454640651054543,0.59588544581818,0.475468094836363,0.287857381236362,0.211726560581819,0.219135564799999
"2017-01-01",0.468481258081566,0.607421478931819,0.480945598574747,0.301978424858082,0.208821971934848,0.229063285511112
"2018-01-01",0.481980587472726,0.617859747090908,0.486017628581818,0.316239007381818,0.206740321709091,0.239164321599999
"2019-01-01",0.495135915184092,0.627224775886364,0.490689924572727,0.330620621422729,0.205452344713636,0.249423799200001
"2020-01-01",0.507944517171717,0.635541090909091,0.494968226262626,0.34510475959596,0.204928775757576,0.259826844444444
"2021-01-01",0.520403669391665,0.642833217749999,0.498858273366666,0.359672914516665,0.20514034965,0.270358583466666
"2022-01-01",0.5325106478,0.649125682,0.5023658056,0.374306578800001,0.2060578012,0.281004142400001
"2023-01-01",0.544262728352776,0.65444300925,0.505496562677777,0.38898724506111,0.207651865216667,0.291748647377777
"2024-01-01",0.555657187006061,0.658809725090909,0.508256284315151,0.403696405915153,0.209893276509091,0.302577224533335
"2025-01-01",0.566691299715908,0.662250355113636,0.510650710227272,0.418415553977273,0.212752769886364,0.313475
"2026-01-01",0.577362342438382,0.664789424909091,0.512685580129292,0.433126181862625,0.216201080157575,0.32442709991111
"2027-01-01",0.587667591129545,0.666451460068182,0.514366633736363,0.447809782186365,0.220208942131818,0.335418650400001
"2028-01-01",0.597604321745453,0.667260986181818,0.515699610763636,0.462447847563636,0.224747090618182,0.3464347776
"2029-01-01",0.607169810242172,0.667242528840909,0.516690250926262,0.477021870609598,0.229786260425758,0.357460607644446
"2030-01-01",0.616361332575757,0.666420613636363,0.517344293939394,0.491513343939394,0.235297186363636,0.368481266666667
"2031-01-01",0.625176164702271,0.664819766159091,0.517667479518181,0.50590376016818,0.241250603240908,0.379481880799999
"2032-01-01",0.633611582577778,0.662464512,0.517665547377777,0.520174611911112,0.247617245866667,0.390447576177778
"2033-01-01",0.641664862158332,0.65937937675,0.517344237233333,0.534307391783333,0.25436784905,0.401363478933333
"2034-01-01",0.6493332794,0.655588885999999,0.5167092888,0.548283592400002,0.261473147600001,0.412214715200001
"2035-01-01",0.656614110258838,0.651117565340909,0.515766441792929,0.562084706376263,0.268903876325758,0.422986411111111
"2036-01-01",0.663504630690908,0.645989940363637,0.514521435927273,0.575692226327271,0.276630770036363,0.433663692799999
"2037-01-01",0.670002116652272,0.64023053665909,0.512980010918181,0.589087644868183,0.284624563540909,0.444231686400001
"2038-01-01",0.676103844098989,0.633863879818182,0.511147906480808,0.602252454614141,0.292855991648484,0.454675518044444
"2039-01-01",0.681807088987121,0.626914495431817,0.509030862330302,0.615168148180304,0.301295789168183,0.464980313866668
"2040-01-01",0.687109127272727,0.619406909090909,0.506634618181818,0.627816218181818,0.309914690909091,0.4751312
"2041-01-01",0.692007234911868,0.611365646386364,0.503964913750505,0.640178157233837,0.318683431680302,0.485113302577777
"2042-01-01",0.696498687860606,0.60281523290909,0.501027488751515,0.652235457951516,0.327572746290909,0.494911747733334
"2043-01-01",0.700580762074999,0.59378019425,0.4978280829,0.663969612949999,0.336553369549999,0.5045116616
"2044-01-01",0.704250733511111,0.584285055999999,0.49437243591111,0.675362114844446,0.345596036266667,0.513898170311112
"2045-01-01",0.707505878125,0.57435434375,0.4906662875,0.68639445625,0.35467148125,0.5230564
"2046-01-01",0.710343471872727,0.56401258309091,0.486715377381818,0.697048129781817,0.36375043930909,0.531971476799999
"2047-01-01",0.712760790710353,0.553284299613636,0.482525445271717,0.707304628055051,0.372803645253031,0.540628526844445
"2048-01-01",0.714755110593939,0.542194018909091,0.478102230884848,0.717145443684848,0.381801833890908,0.549012676266666
"2049-01-01",0.716323707479545,0.53076626656818,0.473451473936363,0.726552069286364,0.390715740031819,0.557109051200001
"2050-01-01",0.717463857323232,0.519025568181818,0.468578914141414,0.735505997474747,0.399516098484848,0.564902777777778
"2051-01-01",0.71817283608106,0.50699644934091,0.463490291215152,0.74398872086515,0.40817364405909,0.572378982133333
"2052-01-01",0.718447919709091,0.494703435636363,0.458191344872727,0.751981732072727,0.416659111563637,0.5795227904
"2053-01-01",0.718286384163384,0.482171052659091,0.452687814829293,0.759466523712625,0.424943235807575,0.586319328711111
"2054-01-01",0.7176855054,0.469423825999998,0.446985440799999,0.7664245884,0.432996751600001,0.592753723200001
"2055-01-01",0.716642559375,0.45648628125,0.4410899625,0.77283741875,0.44079039375,0.5988111
"2056-01-01",0.715154822044445,0.443382944000001,0.435007119644445,0.778686507377777,0.448294897066666,0.604476585244444
"2057-01-01",0.713219569364394,0.430138339840912,0.428742651948486,0.783953346898483,0.455480996359089,0.609735305066666
"2058-01-01",0.710834077290909,0.416776994363633,0.422302299127271,0.788619429927273,0.462319426436365,0.614572385600001
"2059-01-01",0.70799562178005,0.403323433159089,0.415691800895959,0.792666249079293,0.468780922107576,0.618972952977778
"2060-01-01",0.704701478787879,0.389802181818181,0.408916896969697,0.796075296969696,0.474836218181818,0.622922133333333
"2061-01-01",0.700948924270455,0.376237765931819,0.401983327063637,0.798828066213635,0.480456049468181,0.6264050528
"2062-01-01",0.69673523418384,0.362654711090912,0.394896830892931,0.800906049426262,0.485611150775756,0.629406837511111
"2063-01-01",0.69205768448409,0.34907754288636,0.387663148172726,0.802290739222727,0.490272256913637,0.6319126136
"2064-01-01",0.686913551127272,0.335530786909089,0.380288018618181,0.802963628218181,0.494410102690909,0.6339075072
"2065-01-01",0.681300110069445,0.32203896875,0.372777181944444,0.802906209027777,0.497995422916666,0.635376644444444
"2066-01-01",0.675214637266668,0.308626614000001,0.365136377866667,0.802099974266666,0.500998952399999,0.636305151466667
"2067-01-01",0.668654408675002,0.295318248250002,0.357371346100001,0.80052641655,0.503391425949999,0.6366781544
"2068-01-01",0.661616700250504,0.282138397090906,0.349487826359594,0.798167028492928,0.505143578375758,0.636480779377778
"2069-01-01",0.654098787949242,0.269111586113635,0.341491558360605,0.795003302710605,0.506226144486363,0.635698152533333
"2070-01-01",0.646097947727273,0.256262340909091,0.333388281818182,0.791016731818181,0.506609859090909,0.6343154
"2071-01-01",0.637611455540658,0.243615187068183,0.325183736447475,0.786188808430808,0.506265456998485,0.632317647911111
"2072-01-01",0.628636587345457,0.23119465018182,0.316883661963638,0.780501025163637,0.505163673018182,0.629690022400001
"2073-01-01",0.619170619097726,0.219025255840906,0.308493798081816,0.773934874631816,0.50327524195909,0.626417649599999
"2074-01-01",0.609210826753535,0.207131529636362,0.300019884517171,0.766471849450503,0.500570898630302,0.622485655644444
