"Unadjusted, Lw current = 3",,,,Hw limited to 5%,,,,Hw limited to 0%,,,,Lw current =  2 Hw limited to 0%
,Spp,Risk,Weight,,Spp,Risk,Weight,,Spp,Risk,Weight,
1,Ba,2,0.00,1,Ba,2,0.00,1,Ba,2,0.00,
2,Bl,2,0.00,2,Bl,2,0.00,2,Bl,2,0.00,
3,Cw,2,0.00,3,Cw,2,0.00,3,Cw,2,0.00,
4,Fd,2,0.00,4,Fd,2,0.00,4,Fd,2,0.00,
5,Hw,2,0.21,5,Hw,2,0.04,5,Hw,2,0.00,
6,Lw,2,0.02,6,Lw,2,0.02,6,Lw,2,0.03,
7,Pl,2,0.19,7,Pl,2,0.26,7,Pl,2,0.24,
8,Py,2,0.00,8,Py,2,0.00,8,Py,2,0.00,
9,Ss,2,0.00,9,Ss,2,0.00,9,Ss,2,0.00,
10,Sx,2,0.59,10,Sx,2,0.69,10,Sx,2,0.74,
11,Ba,4,0.00,11,Ba,4,0.00,11,Ba,4,0.00,
12,Bl,4,0.00,12,Bl,4,0.00,12,Bl,4,0.00,
13,Cw,4,0.00,13,Cw,4,0.00,13,Cw,4,0.00,
14,Fd,4,0.00,14,Fd,4,0.00,14,Fd,4,0.00,
15,Hw,4,0.29,15,Hw,4,0.05,15,Hw,4,0.00,
16,Lw,4,0.03,16,Lw,4,0.04,16,Lw,4,0.05,
17,Pl,4,0.20,17,Pl,4,0.30,17,Pl,4,0.31,
18,Py,4,0.00,18,Py,4,0.00,18,Py,4,0.00,
19,Ss,4,0.00,19,Ss,4,0.00,19,Ss,4,0.00,
20,Sx,4,0.49,20,Sx,4,0.62,20,Sx,4,0.65,
21,Ba,6,0.00,21,Ba,6,0.00,21,Ba,6,0.00,
22,Bl,6,0.00,22,Bl,6,0.00,22,Bl,6,0.00,
23,Cw,6,0.00,23,Cw,6,0.00,23,Cw,6,0.00,
24,Fd,6,0.00,24,Fd,6,0.01,24,Fd,6,0.01,
25,Hw,6,0.33,25,Hw,6,0.05,25,Hw,6,0.00,
26,Lw,6,0.03,26,Lw,6,0.07,26,Lw,6,0.08,
27,Pl,6,0.21,27,Pl,6,0.33,27,Pl,6,0.34,
28,Py,6,0.00,28,Py,6,0.00,28,Py,6,0.00,
29,Ss,6,0.00,29,Ss,6,0.00,29,Ss,6,0.00,
30,Sx,6,0.43,30,Sx,6,0.56,30,Sx,6,0.58,
31,Ba,8,0.00,31,Ba,8,0.00,31,Ba,8,0.00,
32,Bl,8,0.00,32,Bl,8,0.00,32,Bl,8,0.00,
33,Cw,8,0.00,33,Cw,8,0.00,33,Cw,8,0.00,
34,Fd,8,0.01,34,Fd,8,0.01,34,Fd,8,0.02,
35,Hw,8,0.34,35,Hw,8,0.05,35,Hw,8,0.00,
36,Lw,8,0.04,36,Lw,8,0.09,36,Lw,8,0.10,
37,Pl,8,0.22,37,Pl,8,0.34,37,Pl,8,0.35,
38,Py,8,0.00,38,Py,8,0.00,38,Py,8,0.00,
39,Ss,8,0.00,39,Ss,8,0.00,39,Ss,8,0.00,
40,Sx,8,0.40,40,Sx,8,0.52,40,Sx,8,0.54,
41,Ba,10,0.00,41,Ba,10,0.00,41,Ba,10,0.00,
42,Bl,10,0.00,42,Bl,10,0.00,42,Bl,10,0.00,
43,Cw,10,0.00,43,Cw,10,0.00,43,Cw,10,0.00,
44,Fd,10,0.01,44,Fd,10,0.02,44,Fd,10,0.03,
45,Hw,10,0.35,45,Hw,10,0.05,45,Hw,10,0.00,
46,Lw,10,0.04,46,Lw,10,0.10,46,Lw,10,0.12,
47,Pl,10,0.23,47,Pl,10,0.34,47,Pl,10,0.35,
48,Py,10,0.00,48,Py,10,0.00,48,Py,10,0.00,
49,Ss,10,0.00,49,Ss,10,0.00,49,Ss,10,0.00,
50,Sx,10,0.38,50,Sx,10,0.49,50,Sx,10,0.51,
51,Ba,12,0.00,51,Ba,12,0.00,51,Ba,12,0.00,
52,Bl,12,0.00,52,Bl,12,0.00,52,Bl,12,0.00,
53,Cw,12,0.00,53,Cw,12,0.01,53,Cw,12,0.01,
54,Fd,12,0.01,54,Fd,12,0.03,54,Fd,12,0.04,
55,Hw,12,0.35,55,Hw,12,0.05,55,Hw,12,0.00,
56,Lw,12,0.05,56,Lw,12,0.12,56,Lw,12,0.13,
57,Pl,12,0.24,57,Pl,12,0.34,57,Pl,12,0.34,
58,Py,12,0.00,58,Py,12,0.00,58,Py,12,0.00,
59,Ss,12,0.00,59,Ss,12,0.00,59,Ss,12,0.00,
60,Sx,12,0.36,60,Sx,12,0.47,60,Sx,12,0.48,
61,Ba,14,0.00,61,Ba,14,0.00,61,Ba,14,0.00,
62,Bl,14,0.00,62,Bl,14,0.01,62,Bl,14,0.01,
63,Cw,14,0.00,63,Cw,14,0.01,63,Cw,14,0.03,
64,Fd,14,0.02,64,Fd,14,0.04,64,Fd,14,0.05,
65,Hw,14,0.35,65,Hw,14,0.05,65,Hw,14,0.00,
66,Lw,14,0.05,66,Lw,14,0.13,66,Lw,14,0.14,
67,Pl,14,0.24,67,Pl,14,0.33,67,Pl,14,0.33,
68,Py,14,0.00,68,Py,14,0.00,68,Py,14,0.00,
69,Ss,14,0.00,69,Ss,14,0.00,69,Ss,14,0.00,
70,Sx,14,0.35,70,Sx,14,0.44,70,Sx,14,0.46,
71,Ba,16,0.00,71,Ba,16,0.00,71,Ba,16,0.00,
72,Bl,16,0.00,72,Bl,16,0.01,72,Bl,16,0.01,
73,Cw,16,0.00,73,Cw,16,0.03,73,Cw,16,0.05,
74,Fd,16,0.02,74,Fd,16,0.05,74,Fd,16,0.06,
75,Hw,16,0.35,75,Hw,16,0.05,75,Hw,16,0.00,
76,Lw,16,0.06,76,Lw,16,0.13,76,Lw,16,0.14,
77,Pl,16,0.24,77,Pl,16,0.32,77,Pl,16,0.32,
78,Py,16,0.00,78,Py,16,0.00,78,Py,16,0.00,
79,Ss,16,0.00,79,Ss,16,0.00,79,Ss,16,0.00,
80,Sx,16,0.34,80,Sx,16,0.43,80,Sx,16,0.44,
81,Ba,18,0.00,81,Ba,18,0.00,81,Ba,18,0.00,
82,Bl,18,0.00,82,Bl,18,0.01,82,Bl,18,0.01,
83,Cw,18,0.00,83,Cw,18,0.04,83,Cw,18,0.07,
84,Fd,18,0.03,84,Fd,18,0.06,84,Fd,18,0.07,
85,Hw,18,0.35,85,Hw,18,0.05,85,Hw,18,0.00,
86,Lw,18,0.06,86,Lw,18,0.13,86,Lw,18,0.14,
87,Pl,18,0.24,87,Pl,18,0.31,87,Pl,18,0.31,
88,Py,18,0.00,88,Py,18,0.00,88,Py,18,0.00,
89,Ss,18,0.00,89,Ss,18,0.00,89,Ss,18,0.00,
90,Sx,18,0.33,90,Sx,18,0.41,90,Sx,18,0.42,
91,Ba,20,0.00,91,Ba,20,0.00,91,Ba,20,0.00,
92,Bl,20,0.00,92,Bl,20,0.01,92,Bl,20,0.01,
93,Cw,20,0.00,93,Cw,20,0.06,93,Cw,20,0.08,
94,Fd,20,0.04,94,Fd,20,0.07,94,Fd,20,0.08,
95,Hw,20,0.35,95,Hw,20,0.05,95,Hw,20,0.00,
96,Lw,20,0.06,96,Lw,20,0.13,96,Lw,20,0.13,
97,Pl,20,0.24,97,Pl,20,0.30,97,Pl,20,0.30,
98,Py,20,0.00,98,Py,20,0.00,98,Py,20,0.00,
99,Ss,20,0.00,99,Ss,20,0.00,99,Ss,20,0.00,
100,Sx,20,0.33,100,Sx,20,0.39,100,Sx,20,0.40,
101,Ba,22,0.00,101,Ba,22,0.00,101,Ba,22,0.00,
102,Bl,22,0.00,102,Bl,22,0.01,102,Bl,22,0.01,
103,Cw,22,0.00,103,Cw,22,0.07,103,Cw,22,0.10,
104,Fd,22,0.04,104,Fd,22,0.08,104,Fd,22,0.09,
105,Hw,22,0.34,105,Hw,22,0.05,105,Hw,22,0.00,
106,Lw,22,0.06,106,Lw,22,0.13,106,Lw,22,0.13,
107,Pl,22,0.24,107,Pl,22,0.29,107,Pl,22,0.29,
108,Py,22,0.00,108,Py,22,0.00,108,Py,22,0.00,
109,Ss,22,0.00,109,Ss,22,0.00,109,Ss,22,0.00,
110,Sx,22,0.32,110,Sx,22,0.38,110,Sx,22,0.39,
111,Ba,24,0.00,111,Ba,24,0.00,111,Ba,24,0.00,
112,Bl,24,0.00,112,Bl,24,0.02,112,Bl,24,0.02,
113,Cw,24,0.00,113,Cw,24,0.08,113,Cw,24,0.11,
114,Fd,24,0.05,114,Fd,24,0.09,114,Fd,24,0.10,
115,Hw,24,0.34,115,Hw,24,0.05,115,Hw,24,0.00,
116,Lw,24,0.07,116,Lw,24,0.12,116,Lw,24,0.12,
117,Pl,24,0.24,117,Pl,24,0.28,117,Pl,24,0.28,
118,Py,24,0.00,118,Py,24,0.00,118,Py,24,0.00,
119,Ss,24,0.00,119,Ss,24,0.00,119,Ss,24,0.00,
120,Sx,24,0.31,120,Sx,24,0.37,120,Sx,24,0.38,
121,Ba,26,0.00,121,Ba,26,0.00,121,Ba,26,0.01,
122,Bl,26,0.00,122,Bl,26,0.02,122,Bl,26,0.02,
123,Cw,26,0.00,123,Cw,26,0.09,123,Cw,26,0.12,
124,Fd,26,0.05,124,Fd,26,0.09,124,Fd,26,0.10,
125,Hw,26,0.34,125,Hw,26,0.05,125,Hw,26,0.00,
126,Lw,26,0.07,126,Lw,26,0.12,126,Lw,26,0.11,
127,Pl,26,0.24,127,Pl,26,0.28,127,Pl,26,0.28,
128,Py,26,0.00,128,Py,26,0.00,128,Py,26,0.00,
129,Ss,26,0.00,129,Ss,26,0.00,129,Ss,26,0.01,
130,Sx,26,0.31,130,Sx,26,0.36,130,Sx,26,0.37,
131,Ba,28,0.00,131,Ba,28,0.01,131,Ba,28,0.01,
132,Bl,28,0.01,132,Bl,28,0.02,132,Bl,28,0.02,
133,Cw,28,0.00,133,Cw,28,0.09,133,Cw,28,0.13,
134,Fd,28,0.06,134,Fd,28,0.10,134,Fd,28,0.11,
135,Hw,28,0.34,135,Hw,28,0.05,135,Hw,28,0.00,
136,Lw,28,0.07,136,Lw,28,0.11,136,Lw,28,0.11,
137,Pl,28,0.23,137,Pl,28,0.27,137,Pl,28,0.27,
138,Py,28,0.00,138,Py,28,0.00,138,Py,28,0.00,
139,Ss,28,0.00,139,Ss,28,0.01,139,Ss,28,0.01,
140,Sx,28,0.30,140,Sx,28,0.35,140,Sx,28,0.36,
141,Ba,30,0.00,141,Ba,30,0.01,141,Ba,30,0.01,
142,Bl,30,0.01,142,Bl,30,0.02,142,Bl,30,0.02,
143,Cw,30,0.00,143,Cw,30,0.10,143,Cw,30,0.13,
144,Fd,30,0.07,144,Fd,30,0.11,144,Fd,30,0.12,
145,Hw,30,0.33,145,Hw,30,0.05,145,Hw,30,0.00,
146,Lw,30,0.07,146,Lw,30,0.11,146,Lw,30,0.10,
147,Pl,30,0.23,147,Pl,30,0.26,147,Pl,30,0.26,
148,Py,30,0.00,148,Py,30,0.01,148,Py,30,0.00,
149,Ss,30,0.00,149,Ss,30,0.01,149,Ss,30,0.01,
150,Sx,30,0.30,150,Sx,30,0.34,150,Sx,30,0.35,
151,Ba,32,0.00,151,Ba,32,0.01,151,Ba,32,0.01,
152,Bl,32,0.01,152,Bl,32,0.02,152,Bl,32,0.02,
153,Cw,32,0.00,153,Cw,32,0.10,153,Cw,32,0.14,
154,Fd,32,0.07,154,Fd,32,0.11,154,Fd,32,0.12,
155,Hw,32,0.33,155,Hw,32,0.05,155,Hw,32,0.00,
156,Lw,32,0.07,156,Lw,32,0.10,156,Lw,32,0.10,
157,Pl,32,0.23,157,Pl,32,0.26,157,Pl,32,0.26,
158,Py,32,0.00,158,Py,32,0.01,158,Py,32,0.01,
159,Ss,32,0.00,159,Ss,32,0.01,159,Ss,32,0.01,
160,Sx,32,0.30,160,Sx,32,0.33,160,Sx,32,0.34,
161,Ba,34,0.00,161,Ba,34,0.01,161,Ba,34,0.02,
162,Bl,34,0.01,162,Bl,34,0.02,162,Bl,34,0.03,
163,Cw,34,0.00,163,Cw,34,0.11,163,Cw,34,0.14,
164,Fd,34,0.08,164,Fd,34,0.12,164,Fd,34,0.12,
165,Hw,34,0.33,165,Hw,34,0.05,165,Hw,34,0.00,
166,Lw,34,0.07,166,Lw,34,0.09,166,Lw,34,0.09,
167,Pl,34,0.23,167,Pl,34,0.25,167,Pl,34,0.25,
168,Py,34,0.01,168,Py,34,0.01,168,Py,34,0.01,
169,Ss,34,0.00,169,Ss,34,0.01,169,Ss,34,0.02,
170,Sx,34,0.29,170,Sx,34,0.33,170,Sx,34,0.33,
171,Ba,36,0.00,171,Ba,36,0.02,171,Ba,36,0.02,
172,Bl,36,0.01,172,Bl,36,0.03,172,Bl,36,0.03,
173,Cw,36,0.00,173,Cw,36,0.11,173,Cw,36,0.14,
174,Fd,36,0.09,174,Fd,36,0.12,174,Fd,36,0.13,
175,Hw,36,0.32,175,Hw,36,0.05,175,Hw,36,0.00,
176,Lw,36,0.07,176,Lw,36,0.09,176,Lw,36,0.09,
177,Pl,36,0.23,177,Pl,36,0.25,177,Pl,36,0.24,
178,Py,36,0.01,178,Py,36,0.02,178,Py,36,0.02,
179,Ss,36,0.00,179,Ss,36,0.02,179,Ss,36,0.02,
180,Sx,36,0.29,180,Sx,36,0.32,180,Sx,36,0.32,
181,Ba,38,0.00,181,Ba,38,0.02,181,Ba,38,0.03,
182,Bl,38,0.01,182,Bl,38,0.03,182,Bl,38,0.03,
183,Cw,38,0.00,183,Cw,38,0.11,183,Cw,38,0.14,
184,Fd,38,0.09,184,Fd,38,0.12,184,Fd,38,0.13,
185,Hw,38,0.32,185,Hw,38,0.05,185,Hw,38,0.00,
186,Lw,38,0.06,186,Lw,38,0.09,186,Lw,38,0.08,
187,Pl,38,0.22,187,Pl,38,0.24,187,Pl,38,0.24,
188,Py,38,0.02,188,Py,38,0.02,188,Py,38,0.02,
189,Ss,38,0.00,189,Ss,38,0.02,189,Ss,38,0.03,
190,Sx,38,0.28,190,Sx,38,0.31,190,Sx,38,0.32,
191,Ba,40,0.00,191,Ba,40,0.02,191,Ba,40,0.03,
192,Bl,40,0.01,192,Bl,40,0.03,192,Bl,40,0.03,
193,Cw,40,0.00,193,Cw,40,0.11,193,Cw,40,0.14,
194,Fd,40,0.10,194,Fd,40,0.12,194,Fd,40,0.13,
195,Hw,40,0.32,195,Hw,40,0.05,195,Hw,40,0.00,
196,Lw,40,0.06,196,Lw,40,0.08,196,Lw,40,0.08,
197,Pl,40,0.22,197,Pl,40,0.24,197,Pl,40,0.23,
198,Py,40,0.02,198,Py,40,0.03,198,Py,40,0.03,
199,Ss,40,0.00,199,Ss,40,0.03,199,Ss,40,0.03,
200,Sx,40,0.28,200,Sx,40,0.31,200,Sx,40,0.31,
201,Ba,42,0.00,201,Ba,42,0.03,201,Ba,42,0.04,
202,Bl,42,0.02,202,Bl,42,0.03,202,Bl,42,0.03,
203,Cw,42,0.00,203,Cw,42,0.11,203,Cw,42,0.13,
204,Fd,42,0.10,204,Fd,42,0.12,204,Fd,42,0.13,
205,Hw,42,0.31,205,Hw,42,0.05,205,Hw,42,0.00,
206,Lw,42,0.06,206,Lw,42,0.08,206,Lw,42,0.08,
207,Pl,42,0.22,207,Pl,42,0.23,207,Pl,42,0.23,
208,Py,42,0.03,208,Py,42,0.03,208,Py,42,0.03,
209,Ss,42,0.00,209,Ss,42,0.03,209,Ss,42,0.04,
210,Sx,42,0.28,210,Sx,42,0.30,210,Sx,42,0.30,
211,Ba,44,0.00,211,Ba,44,0.03,211,Ba,44,0.04,
212,Bl,44,0.02,212,Bl,44,0.03,212,Bl,44,0.04,
213,Cw,44,0.00,213,Cw,44,0.10,213,Cw,44,0.13,
214,Fd,44,0.10,214,Fd,44,0.13,214,Fd,44,0.13,
215,Hw,44,0.31,215,Hw,44,0.05,215,Hw,44,0.00,
216,Lw,44,0.06,216,Lw,44,0.07,216,Lw,44,0.07,
217,Pl,44,0.22,217,Pl,44,0.23,217,Pl,44,0.23,
218,Py,44,0.03,218,Py,44,0.03,218,Py,44,0.03,
219,Ss,44,0.00,219,Ss,44,0.04,219,Ss,44,0.04,
220,Sx,44,0.27,220,Sx,44,0.29,220,Sx,44,0.30,
221,Ba,46,0.00,221,Ba,46,0.03,221,Ba,46,0.04,
222,Bl,46,0.02,222,Bl,46,0.04,222,Bl,46,0.04,
223,Cw,46,0.00,223,Cw,46,0.10,223,Cw,46,0.13,
224,Fd,46,0.11,224,Fd,46,0.13,224,Fd,46,0.13,
225,Hw,46,0.31,225,Hw,46,0.05,225,Hw,46,0.00,
226,Lw,46,0.06,226,Lw,46,0.07,226,Lw,46,0.07,
227,Pl,46,0.21,227,Pl,46,0.22,227,Pl,46,0.22,
228,Py,46,0.04,228,Py,46,0.04,228,Py,46,0.04,
229,Ss,46,0.00,229,Ss,46,0.04,229,Ss,46,0.05,
230,Sx,46,0.27,230,Sx,46,0.29,230,Sx,46,0.29,
231,Ba,48,0.00,231,Ba,48,0.04,231,Ba,48,0.05,
232,Bl,48,0.02,232,Bl,48,0.04,232,Bl,48,0.04,
233,Cw,48,0.00,233,Cw,48,0.10,233,Cw,48,0.12,
234,Fd,48,0.11,234,Fd,48,0.13,234,Fd,48,0.13,
235,Hw,48,0.31,235,Hw,48,0.05,235,Hw,48,0.00,
236,Lw,48,0.05,236,Lw,48,0.07,236,Lw,48,0.07,
237,Pl,48,0.21,237,Pl,48,0.22,237,Pl,48,0.22,
238,Py,48,0.04,238,Py,48,0.04,238,Py,48,0.04,
239,Ss,48,0.00,239,Ss,48,0.05,239,Ss,48,0.05,
240,Sx,48,0.27,240,Sx,48,0.28,240,Sx,48,0.28,
241,Ba,50,0.00,241,Ba,50,0.04,241,Ba,50,0.05,
242,Bl,50,0.02,242,Bl,50,0.04,242,Bl,50,0.04,
243,Cw,50,0.00,243,Cw,50,0.10,243,Cw,50,0.12,
244,Fd,50,0.11,244,Fd,50,0.13,244,Fd,50,0.13,
245,Hw,50,0.30,245,Hw,50,0.05,245,Hw,50,0.00,
246,Lw,50,0.05,246,Lw,50,0.07,246,Lw,50,0.06,
247,Pl,50,0.21,247,Pl,50,0.22,247,Pl,50,0.21,
248,Py,50,0.05,248,Py,50,0.05,248,Py,50,0.04,
249,Ss,50,0.00,249,Ss,50,0.05,249,Ss,50,0.06,
250,Sx,50,0.26,250,Sx,50,0.28,250,Sx,50,0.28,
