Cw,Fd,Lw,Pl,Py,Sx
0,37.34212014,0,38.53804716,0,35.1964463
0.3196,37.40745887,1.38105192,38.53851407,1.20912952,35.15475449
0.6392,37.4727976,2.762103841,38.53898097,2.41825904,35.11306269
0.816,37.53813633,4.143155761,38.53944787,3.627388561,35.07137089
1.1832,37.60347506,2.209683073,38.53991477,4.836518081,35.02967908
1.377,37.66881379,5.247997298,38.54038167,6.045647601,32.88245427
1.5198,37.73415252,5.137513144,38.54084857,7.254777121,34.59683252
1.9516,37.79949124,6.960501679,38.54131547,8.463906641,34.55555764
2.2304,37.86482997,7.954859062,38.54178237,9.673036162,34.51428275
2.5092,37.9301687,8.32774308,38.54224927,10.88216568,34.47300787
2.788,37.99550743,9.805468635,38.54271617,9.431210258,30.58305438
3.0668,33.53666818,10.7860155,38.54318307,12.76840773,34.04307973
3.3456,37.74492304,11.76656236,38.54364997,10.15668797,34.00222176
3.315,37.80960838,12.74710923,38.54411687,12.26057333,33.9613638
3.4986,37.87429373,9.37734254,38.54458377,8.887101973,33.92050583
4.08,37.93897907,-2.485893457,38.54505067,15.41640138,33.87964786
3.4272,38.00366441,12.81616182,38.54551757,16.44416147,16.05870484
4.5084,38.06834975,13.61717194,38.54598448,17.47192157,32.76330136
4.1922,38.13303509,14.41818205,38.54645138,18.49968166,32.72369414
1.7442,38.19772044,15.21919216,38.54691828,19.52744175,32.68408693
2.754,38.26240578,13.11999324,38.54738518,20.55520184,32.64447972
4.9266,29.96089223,16.53119149,38.54785208,18.78987274,32.60487251
5.1612,38.00398074,17.31839108,38.54831898,16.22651816,32.56526529
2.5806,38.0680127,18.10559068,38.54878588,22.80418275,32.52565808
0.2856,38.13204465,18.89279027,38.54925278,23.79566896,32.48605087
5.185,38.19607661,19.67998987,38.54971968,24.78715516,32.44644365
5.3924,38.26010856,20.46718946,38.55018658,17.29055214,32.40683644
-2.1114,38.32414052,21.25438906,38.55065348,26.11719764,32.36722923
-1.666,27.29368239,22.04158865,27.37319109,27.08450125,32.32762201
-3.944,26.57297548,22.82878824,38.16607141,28.05180487,32.2880148
4.4,37.63136163,23.14369311,38.14073246,28.42622927,31.89217752
-0.637,37.52607732,23.12799167,38.09733268,22.41577646,31.24697918
4.1,37.42079301,23.11229023,38.0539329,27.99073407,30.60178085
0.342,37.3155087,23.09658879,38.01053312,27.95065041,29.95658251
1.921,23.77436524,23.08088735,37.96713335,27.91056675,29.31138418
3.8,36.71843028,23.06518591,37.92373357,27.87048308,28.66618584
3.8,36.61424268,23.04948447,37.88033379,27.83039942,28.0209875
3.8,36.51005509,23.03378303,37.83693401,27.79031576,27.37578917
-0.958,36.40586749,23.01808159,37.79353423,27.75023209,26.73059083
1.121,36.30167989,23.00238015,37.75013446,27.71014843,26.0853925
3.5,36.19749229,22.98667871,37.70673468,27.67006476,11.74337705
0.821,36.09330469,22.97097727,37.6633349,18.13982092,24.53399587
3.4,35.98911709,22.95527583,37.61993512,27.24065823,-32.95251277
0.521,35.88492949,22.93957439,37.57653534,27.20108195,-21.11081191
3.3,35.7807419,22.92387295,2.940507652,27.16150568,20.93439865
3.3,35.6765543,22.90817151,36.73236739,27.1219294,-9.524269758
3.3,35.5723667,22.89247007,36.68984437,27.08235313,-101.9889648
3.3,35.4681791,22.87676863,36.64732136,27.04277685,-13.80309279
-0.079,35.3639915,22.86106719,36.60479834,27.00320058,16.00942696
-0.279,35.2598039,22.84536575,36.56227533,26.9636243,15.50005985
-7.637,35.1556163,22.8296643,36.51975231,26.92404802,14.99069275
-0.879,35.05142871,22.81396286,36.4772293,26.88447175,14.48132564
2.7,34.94724111,22.79826142,36.43470628,26.84489547,13.97195853
2.7,34.84305351,22.78255998,36.39218327,26.8053192,13.46259143
2.7,34.73886591,22.76685854,36.34966025,26.76574292,12.95322432
2.7,34.63467831,22.7511571,36.30713724,26.72616665,-21.3535478
2.7,34.53049071,22.73545566,36.26461422,26.68659037,-39.55725009
2.7,34.42630311,22.71975422,36.22209121,26.6470141,10.66344813
2.7,34.32211551,22.70405278,36.17956819,26.60743782,10.18803883
2.7,34.21792792,22.68835134,36.13704518,26.56786154,-42.7707483
2.7,34.11374032,22.6726499,36.09452216,26.52828527,8.841339366
-6.658,34.00955272,22.65694846,12.37767369,26.48870899,8.386304751
2.5,33.90536512,22.64124702,-12.45286992,-6.98613137,-9.938695325
2.5,33.80117752,22.62554558,34.85457313,25.73238833,7.364649916
2.5,33.69698992,22.60984414,10.0266598,25.69382683,-137.774354
2.5,33.59048617,22.57390768,34.37718236,25.64752385,-12.38634511
2.5,33.47842365,22.48940719,34.25121414,7.514267438,-49.15903533
-2.779,33.36636113,22.4049067,34.12524591,25.18199882,5.4
2.4,33.25429861,22.32040621,33.99927768,25.11797001,-31.57269022
2.4,33.14223609,22.23590572,33.87330945,25.05394121,5.2
-3.179,33.03017357,22.15140522,33.74734122,24.9899124,5.2
2.3,32.91811105,22.06690473,33.62137299,24.9258836,5.2
2.3,32.80604853,21.98240424,-21.91650826,24.86185479,5.2
2.3,32.69398601,21.89790375,32.65181424,24.79782598,-32.77269022
2.3,32.58192349,21.81340325,32.528555,24.73379718,-90.43172554
2.3,32.46986097,21.72890276,32.40529577,24.66976837,4.5
2.3,32.35779845,21.64440227,-113.383334,24.60573957,4.5
2.3,32.24573593,21.55990178,0.905344247,24.54171076,-14.88634511
-10.458,32.13367341,21.47540129,29.9232861,24.47768195,4.4
2.1,32.02161088,21.39090079,-30.57022633,24.41365315,4.4
2.1,31.90954836,21.3064003,28.99436227,24.34962434,4.4
2.1,31.79748584,21.22189981,28.88193901,24.28559554,4.4
2.1,31.68542332,21.13739932,28.76951575,0.883479182,4.4
2.1,31.5733608,21.05289883,28.65709249,23.83543742,4.4
2.1,31.46129828,20.96839833,28.54466923,23.77226233,4.4
2.1,31.34923576,20.88389784,28.43224598,23.70908724,4.4
2.1,-32.88371467,20.79939735,28.31982272,23.64591215,4.4
-48.853,30.46984523,20.71489686,28.20739946,23.58273706,-15.98634511
-5.979,30.36014192,20.63039637,28.0949762,23.51956198,4.3
1.3,30.25043861,20.54589587,27.98255294,23.45638689,4.3
1.3,30.1407353,20.46139538,27.87012968,23.3932118,4.3
1.3,30.03103199,20.37689489,27.75770643,23.33003671,4.3
1.3,29.92132868,20.2923944,27.64528317,23.26686162,4.3
1.3,29.81162538,20.2078939,-7.423686268,23.20368653,4.3
1.3,29.70192207,20.12339341,-8.196842939,23.14051144,4.3
1.3,29.59221876,20.03889292,26.64998897,23.07733636,-59.25903533
1.3,29.48251545,19.95439243,26.54027471,23.01416127,-17.28634511
1.3,29.37281214,19.86989194,26.43056044,22.95098618,3.9
1.3,29.26310883,19.78539144,26.32084618,22.88781109,-39.07269022
1.3,29.15340552,19.70089095,26.21113192,-5.873054575,3.7
1.3,29.04370221,19.61639046,26.10141765,22.4538736,3.7
